"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
"1",5,0,0,1,0,39,1,0,14.6172504425049,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"2",4,1,0,0,1,45,1,0,13.8236608505249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"3",5,1,0,0,1,50,1,0,14.0581769943237,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"4",3,1,1,0,0,31,1,0,15.2213277816772,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"5",3,1,0,0,0,43,1,0,15.0877962112427,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"6",2,1,1,0,0,34,0,0,13.9068746566772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"7",5,1,0,1,1,37,1,0,15.262149810791,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"8",4,0,0,0,0,30,0,0,14.1945571899414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"9",6,0,0,0,0,39,1,1,13.6118898391724,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",4,0,1,0,0,25,0,0,11.8919715881348,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"11",2,0,1,0,0,42,1,1,14.2404985427856,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",7,1,0,0,0,45,1,0,14.2404985427856,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"13",3,1,0,0,1,28,0,0,11.5272884368896,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"14",5,0,0,0,1,37,1,1,14.0033683776855,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",2,1,0,1,0,40,1,0,13.6945810317993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"16",5,0,0,1,0,32,0,0,15.1108474731445,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"17",3,0,1,1,0,25,1,1,14.7909288406372,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",10,1,0,1,0,25,1,0,14.2404985427856,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"19",5,1,0,0,0,42,1,0,15.2213277816772,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"20",8,1,0,0,1,47,0,0,10.3233556747437,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"21",7,1,0,0,0,51,0,0,14.1945571899414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"22",11,1,0,0,0,24,0,0,15.1108474731445,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"23",6,1,1,0,0,35,1,1,14.6272144317627,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24",4,0,0,1,0,32,1,0,12.3653573989868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"25",5,0,0,1,0,24,1,0,11.7147693634033,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"26",3,0,0,0,1,52,1,1,11.6427965164185,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"27",7,0,0,0,0,35,1,1,14.4447984695435,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28",3,0,0,0,0,26,1,0,13.835033416748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"29",9,1,0,1,0,27,0,0,14.7251853942871,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"30",10,1,1,0,1,33,1,0,13.5473508834839,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"31",4,1,0,1,1,37,1,0,13.9601964950562,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"32",5,0,0,0,0,32,0,0,15.1108474731445,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"33",3,1,0,1,1,56,1,0,14.2404985427856,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"34",4,0,0,0,1,39,1,0,13.9891834259033,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
