"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
"1",4,1,1,0,1,36,1,0,14.3798246383667,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"2",4,1,0,0,1,52,1,0,12.0519790649414,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"3",10,1,0,0,1,35,1,1,14.6910362243652,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",6,0,0,1,1,56,1,0,14.3545637130737,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"5",3,1,0,1,1,58,0,1,13.5927200317383,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",7,1,0,0,1,42,1,0,13.8437385559082,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"7",6,1,0,1,1,48,0,0,14.7451400756836,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"8",7,1,0,1,1,53,0,0,15.438286781311,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"9",4,0,0,1,1,52,1,0,14.2492036819458,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"10",8,1,0,1,1,40,1,0,15.2708549499512,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"11",5,1,0,0,1,53,0,0,15.0075044631958,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"12",4,0,1,0,1,34,1,1,14.131420135498,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",5,0,1,1,1,35,1,0,13.8437385559082,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"14",4,0,0,0,1,30,1,0,13.4382734298706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"15",6,1,0,0,1,30,1,0,14.0300493240356,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"16",2,0,0,1,1,34,1,0,13.7079572677612,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"17",4,1,0,1,1,51,1,0,14.3865957260132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"18",2,0,0,0,1,52,0,1,13.0303411483765,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",9,1,0,0,1,45,0,1,12.6248760223389,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",5,1,0,1,1,38,1,0,14.6169281005859,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"21",3,0,0,1,1,52,1,0,14.7600288391113,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"22",2,1,0,0,1,29,0,0,14.4166355133057,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"23",5,1,0,0,1,56,1,0,14.8245677947998,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"24",6,1,0,0,1,33,1,0,14.3865957260132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
